Audience Type,How Likely Are You to Use Trackeo,Feature That Excites You the Most,Do You Believe This Could Change Visibility for South American Athletes,Would You Talk About It with Other Athletes/Coaches
Athlete,Very Likely,Verified Results,Yes,Definitely
Athlete,Likely,Recruiting Tools,Yes,Probably
Athlete,Neutral,Networking,Somewhat,Maybe
Athlete,Very Likely,All-in-One Platform,Yes,Definitely
Athlete,Likely,Verified Results,Yes,Probably
Athlete,Very Likely,Recruiting Tools,Yes,Definitely
Athlete,Unlikely,Networking,Somewhat,Maybe
Athlete,Very Likely,Verified Results,Yes,Definitely
Athlete,Likely,Networking,Yes,Probably
Athlete,Neutral,Recruiting Tools,Somewhat,Maybe
Athlete,Very Likely,All-in-One Platform,Yes,Definitely
Athlete,Likely,Verified Results,Yes,Probably
Athlete,Very Likely,Recruiting Tools,Yes,Definitely
Athlete,Neutral,Networking,Somewhat,Maybe
Athlete,Likely,Verified Results,Yes,Probably
Athlete,Very Likely,Recruiting Tools,Yes,Definitely
Athlete,Neutral,All-in-One Platform,Somewhat,Maybe
Athlete,Very Likely,Networking,Yes,Definitely
Athlete,Likely,Verified Results,Yes,Probably
Athlete,Very Likely,All-in-One Platform,Yes,Definitely
Coach/Recruiter,Very Likely,Recruiting Tools,Yes,Definitely
Coach/Recruiter,Likely,Verified Results,Yes,Probably
Coach/Recruiter,Very Likely,Networking,Yes,Definitely
Coach/Recruiter,Likely,All-in-One Platform,Somewhat,Probably
Coach/Recruiter,Very Likely,Recruiting Tools,Yes,Definitely
